aofe	嶅
bicu	薜
biuy	襞
bwle	邶
bicu	萆
bivb	舭
bicb	芘
bidb	沘
bmse	𨚕
bicb	苾
bikb	咇
bnmm	骉
butp	埗
bodz	浡
bwwf	琲
bwmk	棓
bibb	皕
baab	鲌
bjbw	攽
bwgy	鞁
bnjx	幖
bihb	馝
bjwj	𨭉
bulw	瓿
bizu	跸
bmvz	笾
bwpo	褙
bwpn	鹎
bwuz	孛
bovy	般
cjhp	䅟
cidm	粢
cvmm	毳
dyzw	蹾
dndd	汈
dimd	杕
djdl	殚
doui	饳
dumo	阇
dhve	筜
dipj	禘
dajk	𨱏
dauz	鿎
djdk	澹
djvl	箪
diyd	羝
dujt	𬭊
eenk	姶
eeuk	𥔲
ffrr	偾
fjdv	氾
fukx	㕮
futz	垺
fhif	蚄
fgdf	浲
ffdr	𣸣
fjjt	𫔍
fubt	匐
fupd	祓
fjpn	𬸪
furf	佛
guuy	榖
gunk	牿
guuy	嘏
gsce	䢼
gvnv	姽
glww	珖
gucg	蓇
guug	馉
gvgg	廆
grve	筦
gzbf	雊
gjdg	㽏
gzbk	句
gudg	觚
heyk	𬌗
huuy	縠
hvxi	翚
hudh	冱
huhh	烀
hjfg	扞
hvho	烠
hjdk	浛
hlbw	㿠
hrdd	奂
hrjy	镮
hdkk	咍
hlww	瑝
hode	漷
hljw	锽
hcbu	皞
hlvw	艎
hljb	𨱑
hcku	嗥
hckk	嚆
huuy	觳
hukw	囫
hvds	浍
hvyh	诙
hojx	锪
hvyx	𬤝
iama	𥻗
iuih	蜍
iume	柷
iumk	樗
iidn	鸱
ifmm	榇
ijmz	梴
ijjd	刬
iama	楂
isfj	摏
iuji	斶
ijpk	襜
igmt	樘
ifmv	梣
ifhv	煁
isvl	艟
iumo	楮
izrf	雠
ihji	𬬮
jbdd	浕
juck	蒟
jicu	蒺
jicy	芰
jida	殛
jidd	剞
jrjv	锩
jnrh	僬
jnyh	醮
jmmz	楗
jirj	伋
jpbe	岊
jtmg	𫘝
jimk	枅
jxdk	泇
jitz	垍
jnxx	恔
jink	姞
jkll	竫
jumk	枸
jumk	椐
juhj	秬
jpil	蜐
jijb	𫓹
jilo	耤
jndk	滘
jbwo	瑨
jndw	漖
jidk	觭
jidn	鹡
jtdr	㵐
jppj	褯
jkww	璥
jihx	穄
jmve	笕
jmvj	篯
jnhh	燋
judu	澽
jnww	璬
jtjk	𫔎
jnbw	皦
jidd	瀱
jidx	㴔
jiga	𬶨
jprl	价
jmbk	謇
jxby	瘕
jbkd	赆
jbwz	琎
jmyj	𬣡
juzu	遽
jxmj	𬂩
kekk	匼
klke	贶
kvur	𫠆
kdmj	闿
lakd	喇
lbdl	潾
lixl	悝
luvu	舻
licd	蓠
lial	鲡
lial	鬲
licl	苈
likl	呖
liml	枥
liml	朸
lsol	昽
liwl	珕
lvmk	梠
llrx	倞
lidl	浬
lidd	浰
lhml	桹
lumu	𫘧
lidm	凓
lzdn	溇
lkds	澪
lbmx	翷
lquu	碌
luvb	簏
ldjl	铼
ljdn	漤
liil	轹
lbjl	𬭸
lbml	𬴊
liwl	𬍛
libw	疠
lltm	墚
lomx	椤
mmdm	湎
mmdm	沔
mmdd	渑
muco	苜
mwve	郿
mogm	靺
mgcn	鹲
mobd	瘼
mcce	鄚
mwdd	渼
mocu	藦
miym	醾
npcm	糵
npcx	菍
piuu	鼙
pkdm	冯
pkjk	帡
pavb	舥
pcds	匏
pucf	蒱
pdvu	簰
piuk	嚭
pibk	否
