anan	𩽾
aifu	挨
aiku	唉
aiwy	哀
anbm	案
anjn	铵
antd	埯
aitu	埃
aoye	岙
bfst	畚
bhke	𠳐
bfmk	栟
bmhc	煸
biyy	诐
bivm	笔
buce	蔀
bjdl	半
babb	爸
bafb	把
bkan	丙
bcfy	报
bafd	拔
bakb	吧
balb	耙
bamb	粑
bbdb	殡
bcdu	瀑
bchu	爆
bcou	暴
bcpm	褓
bcvu	豹
bduf	拜
bfvb	笨
bhif	蚌
bhml	棒
bhrf	傍
bhwf	玤
bibb	比
bibb	毙
bigb	庇
bimc	闭
biuy	璧
biwu	碧
bizu	避
bjfy	搬
bjlu	瓣
bjmy	板
bjvy	般
bjww	班
bkbk	并
bkdu	冰
bkmb	柄
bkuk	饼
bmgg	鞭
bmhc	扁
bmlu	辨
bmlu	辩
bmsc	编
bmzc	遍
bnmx	标
bold	卜
bouc	博
bpkd	别
buff	捕
bukf	哺
buld	卜
bule	部
buuj	布
bupb	补
butu	埠
bwqr	狈
bwuu	碑
bwxz	悖
bcbn	鸨
bbjb	镔
bcvs	龅
bczu	趵
bdhu	稗
bdrb	佰
bhuf	磅
bidd	必
bihb	秕
biru	俾
bixw	愎
bjty	坂
bkmb	槟
bmpc	褊
bmuf	砭
bmxb	忭
bnjx	镖
bnny	婊
bojb	铂
bujb	钚
bwkr	呗
bwmb	杯
bijb	铋
bjey	阪
bovb	箔
bouz	孛
bfnn	犇
cshx	熜
cidr	次
ciyk	词
cdmc	材
cdpm	采
chcv	苍
chrv	仓
chdv	沧
cipk	祠
ciqu	辞
cjdj	残
cjti	蚕
cuwu	卒
cvxu	翠
ccdo	漕
cjhe	灿
cjxp	惨
cofg	搓
crji	镩
cojt	锉
crru	汆
csbd	匆
cswx	琮
cucu	蔟
cvcu	萃
cvwf	璀
dzdu	斗
datz	垯
dudy	渡
dcad	鱽
diij	䗖
dibu	的
debu	的
duyd	读
dabk	瘩
dazd	达
dcdm	盗
dchj	稻
dcxu	悼
dczz	道
ddfj	带
ddry	代
dgda	澄
dgvc	等
dhbu	宕
dhxe	党
dhme	档
dmuy	殿
dnkj	吊
didm	涤
digd	底
disj	缔
diwj	帝
djbl	单
djdh	淡
djfa	担
djgl	弹
djvi	蛋
djyz	诞
dkdr	顶
dkyd	订
dkkd	叮
dmxk	惦
dnva	刁
dnju	钓
dodc	夺
dojm	朵
domd	驮
doxx	多
dpzu	迭
drle	端
drmj	断
dsmd	栋
dugy	度
dule	都
dunh	妒
dupd	牍
duqi	独
dyjt	钝
dykt	吨
dyww	敦
dzfu	抖
dzle	都
dziu	蚪
djoa	胆
dagz	鞑
dana	妲
dapk	褡
dcql	氘
dddk	殆
dhye	谠
diud	氐
diyj	谛
djkh	啖
djxl	惮
dmvu	簟
dndk	凋
dppm	牒
drhy	煅
dskd	咚
dstk	垌
