一一 [aa]	一
一丨 [al]	丁
一乛 [av]	丂
一乛 [av]	七
一丿 [ap]	万
一乀 [an]	丈
一二 [ae]	三
丨一 [la]	上
一卜 [ab]	下
一丨 [al]	丌
一丶 [ad]	不
一一 [aa]	与
一乛 [av]	丏
一乛 [av]	丐
乛一 [va]	丑
一丶 [ad]	专
丨一 [la]	且
不一 [ba]	丕
一乛 [av]	世
丿一 [pa]	丘
一内 [an]	丙
丨一 [la]	业
人一 [ra]	丛
一丶 [ad]	东
乛一 [va]	丝
了一 [la]	丞
丿厶 [ps]	丢
一丶 [ad]	两
亚丿 [yp]	严
丷亚 [by]	並
十乀 [un]	丧
丨丨 [ll]	丨
乛丨 [vl]	丩
人丨 [rl]	个
丷丨 [bl]	丫
丨丨 [ll]	中
乛丨 [vl]	丮
丨丿 [lp]	丯
一丨 [al]	丰
乛丨 [vl]	丱
丨丨 [ll]	串
丨丨 [ll]	丳
丨一 [la]	临
业干 [yg]	丵
丶丶 [dd]	丶
丿丶 [pd]	丸
丿一 [pa]	丹
丶丶 [dd]	为
丶王 [dw]	主
井丶 [jd]	丼
一丶 [ad]	丽
𭕄丨 [xl]	举
丿丿 [pp]	丿
丶丶 [dd]	乀
乛乛 [vv]	乁
丿乀 [pn]	乂
乛丿 [vp]	乃
丿乀 [pn]	久
丿七 [pq]	乇
丿厶 [ps]	么
丶乂 [dx]	义
丶乀 [dn]	之
丿一 [pa]	乌
丿一 [pa]	乍
丿丨 [pl]	乎
丿之 [pv]	乏
丿丶 [pd]	乐
丿乀 [pn]	乑
丘丿 [qp]	乒
丘丶 [qd]	乓
夭丨 [yl]	乔
千匕 [qb]	乖
千乀 [qn]	乘
乛乛 [vv]	乙
乛乛 [vv]	乚
乛乛 [vv]	乜
丿乛 [pv]	九
丿乛 [pv]	乞
乛乛 [vv]	也
乛冫 [vd]	习
乛丿 [vp]	乡
山乛 [ev]	乢
幺乛 [yv]	乣
乛丶 [vd]	书
丨乛 [lv]	乩
乛田 [vt]	乪
乛大 [vd]	买
千乛 [qv]	乱
丿乛 [pv]	乳
扌乛 [fv]	乴
立乛 [lv]	乵
也母 [ym]	乸
十乞 [uq]	乾
丿乛 [pv]	乿
十乞 [uq]	亁
丿乛 [pv]	亂
米乛 [mv]	亃
士乛 [uv]	亄
丨丨 [ll]	亅
乛丨 [vl]	了
龴丨 [sl]	予
⺈丨 [dl]	争
一丨 [al]	事
一一 [aa]	二
二丨 [el]	亍
一丨 [al]	于
二乛 [ev]	亏
二厶 [es]	云
一一 [aa]	互
二丨 [el]	亓
一一 [aa]	五
一丨 [al]	井
一一 [aa]	亘
一一 [aa]	亙
一业 [ay]	亚
止二 [ve]	些
厶二 [se]	亝
一一 [aa]	亞
了一 [la]	亟
丶一 [da]	亠
亠乛 [wv]	亡
亠几 [wj]	亢
亠乂 [wx]	交
亠人 [wr]	亥
亠丶 [wd]	亦
亠厂，立丿 [wi,lp]	产
亠了 [wl]	亨
亠田 [wt]	亩
亠子 [wz]	享
亠小 [wx]	京
亠丁 [wd]	亭
亠几 [wj]	亮
立朩 [lm]	亲
亠七 [wq]	亳
亠九 [wj]	亴
亠𧘇 [wy]	亵
亠一 [wa]	亶
亠丨 [wl]	亸
亠且 [wq]	亹
丿乀 [pn]	人
亻乛 [rv]	亿
亻十 [ru]	什
亻二 [re]	仁
亻力 [rl]	仂
亻丁 [rd]	仃
厂人 [ir]	仄
亻又 [ry]	仅
亻卜 [rb]	仆
亻九 [rj]	仇
亻八 [rb]	仈
亻几 [rj]	仉
人乛 [rv]	今
人丨 [rl]	介
亻乃 [rn]	仍
人人 [rr]	从
人匕 [rb]	仑
人乛 [rv]	仓
亻子 [rz]	仔
亻士 [ru]	仕
亻也 [ry]	他
亻丈 [rv]	仗
亻寸 [rc]	付
亻山 [re]	仙
人山 [re]	仚
亻七 [rq]	仛
