wx	万象
ee	饿饿
eeee	饿饿
ly	灵韵
lkyy	灵韵
fupm	浮生缥缈
hxix	鹤衔春雪
qyut	缺月疏桐
lssp	李氏三拼
lssp	李氏拼\3
ymwx	鸢鸣万象
slwu	三令五申
slwu	令\3申\5
smbf	四面八方
smbf	面\4方\8
hbu	河北省
vjk	张家口
gmdj	古明地觉
gmdl	古明地恋
ix	晨曦
lty	洛天依
jj	椒椒
jj	椒椒JMJ
aayr	阿渊
mcmc	猫猫
mcmc	iSilen
yousa	泠鸢
yousa	yousa
yousa	泠鸢yousa
hanser	Hanser
hanser	hanser
@	@
@	@outlook.com
@	@gmail.com
@	@foxmail.com
@	@qq.com
@o	@outlook.com
@g	@gmail.com
@f	@foxmail.com
@q	@qq.com
acode	Acode
ai	AI
dms	dms
dms	dms-shell-hyprland
dms	dms-shell-niri
lfs	LFS
lfs	Linux From Scratch
termux	Termux
ciallo	Ciallo～(∠・ω＜)⌒☆
npe	NPE
npe	NPE (ノ・ω・)ノ
npe	NullPointerException
sigsegv	SIGSEGV
sigsegv	SIGSEGV (ノ・ω・)ノ
sigsegv	段违例
sigsegv	Signal Segmentation Violation
segfault	SEGFAULT
segfault	SEGFAULT (ノ・ω・)ノ
segfault	段错误（核心已转储）
segfault	Segmentation Fault (core dumped)
