a	啊
anf	按
an	安
anb	案
ai	爱
aa	阿
ao	奥
ane	岸
aod	澳
ait	埃
aic	艾
aiuc	碍
aib	癌
ano	暗
ah	昂
aor	傲
angn	鞍
aiw	哀
anq	氨
aif	挨
anr	俺
aof	熬
aiu	矮
aol	凹
ahy	盎
anon	胺
aie	隘
aofa	鳌
anj	铵
any	谙
ang	庵
aicv	蔼
aofw	敖
aao	腌
anh	黯
aoz	遨
aik	唉
aog	鏖
aop	袄
aibj	皑
aikx	哎
aot	坳
aob	翱
aok	嗷
aho	肮
aofl	拗
aox	懊
aoy	岙
and	鹌
aiy	霭
aiyv	霭
aakw	嗄
aofi	螯
aofm	骜
aio	暧
anm	桉
ain	嫒
aofq	獒
aiky	嗳
aofj	鏊
aak	吖
aiwy	瑷
ant	埯
aaj	锕
aikm	嗌
aon	媪
aogw	廒
aofe	聱
anqg	犴
aij	锿
aijy	锿
aiux	砹
ais	欸
ahp	卬
aiey	叆
aiuw	毐
aiua	毐
ank	唵
antn	垵
ana	𩽾
anrm	盦
aow	璈
aoa	奡
aoe	隩
anbn	安
anfn	按
aip	爱
aae	阿
aneg	岸
aopd	奥
aodd	澳
aicx	艾
aakk	啊
aibe	癌
anoo	暗
ahoe	昂
aorw	傲
anqn	氨
anrd	俺
aofh	熬
aiun	矮
aola	凹
ahym	盎
aiem	隘
anyo	谙
angd	庵
aaod	腌
anho	黯
aozw	遨
aogj	鏖
aopy	袄
aotl	坳
aobx	翱
aokw	嗷
ahoj	肮
aoxd	懊
andn	鹌
aioy	暧
anmn	桉
ainy	嫒
aaky	吖
aajk	锕
aonm	媪
aisr	欸
ahpe	卬
ankd	唵
aoww	璈
aoal	奡
aoed	隩
aipy	爱
aaek	阿
aq	安全
av	按照
ap	安排
ac	按错
au	按时
aj	安静
ag	昂贵
ad	按到
aw	安慰
ax	爱惜
ab	安保
af	安分
ak	拗口
al	按理
ar	黯然
as	暗算
at	凹凸
ay	安逸
az	暗自
am	暧昧
ae	挨饿
aaba	阿爸
aabo	阿伯
aabq	傲岸不群
aabx	皑皑白雪
aadb	嗷嗷待哺
aaff	安安分分
aafm	哀哀父母
aage	阿哥
aags	阿公
aaha	啊哈
aahs	阿訇
aaiq	暗暗称奇
aajp	阿姐
aajj	安安静静
aala	阿拉
aamw	阿妹
aama	阿妈
aamj	阿曼
aamf	阿门
aapo	阿婆
aapp	矮矮胖胖
aaqq	安安全全
aaqd	暗暗祈祷
aati	阿嚏
aavi	AA制
aaww	安安稳稳
aayi	阿姨
aaya	啊呀
aayo	啊哟
aayj	哀哀欲绝
aayy	安安逸逸
aaxx	安安心心
aaza	腌臜
aazu	暗暗咂舌
abai	爱不爱
abaq	安不安全
abay	安不安逸
abbd	按兵不动
abbu	哀兵必胜
abdg	安邦定国
abdi	安步当车
abdy	阿鼻地狱
abgo	熬不过
abgq	熬不过去
abhz	阿布哈兹
abjp	矮半截
abjb	按部就班
ablo	阿波罗
abla	埃博拉
ablk	爱别离苦
ablm	鞍不离马
abrz	爱兵如子
abuu	爱不释手
abvu	熬不住
abvb	阿布扎比
abvh	阿布扎哈
abvg	安邦治国
achx	暗藏祸心
acle	按错了
acqi	昂藏七尺
acrk	爱才若渴
