dmv	簟
zuj	镞
yjhj	焰
xpdn	解
biuu	辟
fufw	抚
jidj	汲
qidd	沏
qimb	骐
qmjq	钎
xihj	烯
xidj	浠
yjig	魇
bcb	鸨
bcv	龅
biu	璧
bkm	槟
bmh	煸
bml	辨
bou	孛
cid	粢
diy	𬱖
ffd	汾
fjj	钒
fjm	梵
fju	矾
fuf	敷
fui	蜉
fuo	脯
fup	凫
fur	俯
fuv	弗
gcm	槁
gcj	锆
gem	阁
gsg	汞
guik	蛄
gzm	枸
hcd	濠
hed	涸
hek	嗬
hlx	恍
hsd	泓
hud	斛
hvh	烩
hxm	骅
ich	焯
ihx	氅
ihxi	怅
ijd	浐
iiv	蚩
isx	忡
jbl	巾
jbs	矜
jic	蓟
jid	奇
jie	觊
jih	嵇
jim	骥
jip	系
jis	继
jiu	戟
jiv	笈
jiw	玑
jiy	计
jkc	荆
jkl	靖
jko	腈
jkx	憬
jmb	煎
jmd	溅
jml	监
jmm	槛
jmr	僭
jmy	戬
jnb	敫
jpy	诘
jqb	疚
juc	苣
juj	飓
jum	桔
jux	惧
jxj	镓
kak	咯
lia	吏
lic	荔
lii	厘
lil	鹂
lim	骊
lir	俚
liv	蠡
liw	璃
lkd	泠
lkk	囹
lky	羚
lld	粱
lqm	骝
mcs	蝥
mig	麋
mmo	眄
moc	蘑
mog	摩
mwn	媒
puc	莆
qic	芑
qid	漆
qim	棋
qip	祈
qiq	憩
qmb	骞
qmj	铅
svh	燧
taz	遢
thd	溏
tik	嚏
tjd	澹
tof	拓
tom	椭
tsm	桐
uei	厍
ufr	什
uhx	裳
uid	湜
uiq	舐
uiv	虱
ujh	煽
ujd	潸
uur	倏
vgf	拯
vgv	筝
vid	汁
vif	挚
vim	枳
viu	智
vjd	湛
vud	渚
vum	株
wuw	吾
wuy	诬
wwc	葳
wwt	畏
xih	熄
xin	嬉
xio	晞
xip	奚
xiu	硒
xkx	惺
xme	岘
xmi	蚬
xmn	娴
xnm	骁
xpd	蟹
xpy	谐
xty	谑
xyy	醺
yai	衙
yay	讶
ybv	龈
yhd	漾
yib	肄
yid	漪
yih	燚
yik	贻
yil	翊
yir	伊
yiv	彝
yiw	奕
yix	怡
yjd	淹
yji	衍
yjj	铅
yjm	檐
yjw	琰
ykc	莹
ykg	膺
ykk	鹦
ykm	楹
ykw	嬴
yrd	沅
yrx	鸳
ysd	涌
ysdy	泳
yuc	萸
yud	浴
yug	鬻
yuj	钰
yuk	圄
yur	觎
yuy	谀
yys	纭
yzi	蝣
zid	渍
fjct	蕃
fuff	麸
fuit	蝠
fukc	赙
jiuj	矶
liiw	蛎
liml	栎
lpdd	洌
lvmk	闾
mcsi	蟊
mkob	暝
mocm	茉
qipu	祇
qryw	醛
uir	什
uun	姝
vef	蜇
wweg	嵬
xxkj	呷
yhdy	殃
yiby	痍
yidj	沂
yikx	翳
yixl	翌
yjhh	焱
yjmd	阉
yua	彧
yudd	淤
zidk	咨
jil	乩
aj	按键
bj	背景
cj	参加
cq	从前
dd	达到
dn	电脑
dr	当然
ds	打算
dv	等着
fb	分别
fv	分钟
fh	反悔
fj	附件
fs	发送
fx	分享
fz	否则
gg	刚刚
gj	感觉
gs	公司
gx	更新
gz	规则
gv	跟着
hf	回复
id	程度
ii	尝尝
jb	基本
jd	绝对
jg	尽管
jj	渐渐
jk	即可
jl	举例
jq	极其
jr	假如
jt	几天
ju	即使
jv	极致
jw	极为
kn	困难
lb	两边
lj	链接
lw	两位
mm	慢慢
mq	面前
mt	每天
qk	情况
qm	前面
qq	恰恰
qt	其他
qu	歧视
qr	确认
rr	仍然
rw	任务
sd	速度
sr	虽然
ss	搜索
sv	随着
td	推导
tg	推广
tj	推荐
tt	淘汰
tz	投资
uf	束缚
uh	伤害
uj	世纪
uu	试试
uw	食物
vc	这次
vd	直到
vf	征服
vh	只会
vi	支持
vj	直接
vq	追求
vu	只是
vv	真正
vx	这些
vy	主意
vz	正在
vw	周围
wd	味道
wm	完美
wv	未知
wx	微信
xg	修改
xm	下面
xu	小时
xv	修正
xx	学习
xz	选择
yb	一边
yq	与其
yv	意志
yx	悠闲
zs	总算
zw	座位
zg	总共
zv	最终
bdh	北戴河
bdm	帮倒忙
bfv	百分之
bip	半成品
bjb	笔记本
bkq	不客气
bmg	闭门羹
bmx	保密性
ddu	大多数
dhj	打火机
dhx	导火线
djd	打交道
djy	都江堰
duj	电视剧
dyh	单引号
fjx	发际线
fux	放射性
gxq	感兴趣
gzu	刽子手
hjl	含金量
hjz	花架子
ifd	出发点
jbn	几百年
jbv	记不住
jij	警察局
jku	教科书
jnd	加拿大
jns	吉尼斯
jpv	柬埔寨
