okhguu	丁
okhgve	丂
okhgve	七
okuuhg	丄
okhguu	丅
okhgpp	丆
okhgppve	万
okhgia	丈
okhger	三
okuuhghg	上
okhgbu	下
okhgppuu	丌
okhgxn	不
okrfhg	丒
okythg	且
okbuhg	丕
oknmve	世
oksahg	丗
okjbhg	丘
okhgnw	丙
okuubahg	业
okcshg	丛
okhgvexn	东
okhgqu	丟
okbwhg	丠
okppqu	丢
okyapp	严
okbaya	並
okkzvi	𧾷
okrfll	𩙿
okveuu	丩
okdmhg	亠
okrfuu	个
okbauu	丫
okbkuu	丬
okkzuu	中
okujuu	丯
oksjuu	丰
oklvuu	串
okjqdm	丸
okdmwh	主
okjkdm	丼
okppna	乂
okvepp	乃
okvedm	乄
okdcna	久
okverf	乆
okppqi	乇
okppsi	么
okdmia	义
okppba	乊
okppvi	乏
okrfppna	乑
okqqpp	乒
okqqdm	乓
okqmbw	乖
okhebw	乘
okveve	乜
okvepp	九
okrfyi	乞
okmpuu	也
okvebk	习
okujve	乢
okycve	乣
okxxyi	乤
okdzyi	乧
oktdve	乨
okvjve	乩
okyitm	乪
okjxyi	乫
okjuyi	乬
okuiyi	乭
okmcyi	乮
okhuyi	乯
okvetz	买
okueve	乱
okciyi	乲
okveyi	乴
okxbvs	忡
okxbve	乵
okfuyi	乶
okuayi	乷
okyemu	乸
okvove	乹
oksoyi	乺
okyuyi	乻
okvuyi	乼
okveyi	乽
okvoqi	乾
okgvri	亀
oklbve	亃
okyive	亄
okveuu	了
okdcuu	亇
okhghg	二
okhgdk	亍
okeruu	于
okerve	亏
okerve	亐
okersi	云
okhghu	互
okgsve	五
okcchg	井
okerer	亖
okujer	亗
okhgdj	亘
okhgqp	亙
okhgye	亚
okcier	些
oklwer	亝
okwfve	亡
okwfji	亢
okdmqi	亣
oklqia	交
oklipp	产
okwftm	亩
okyive	亪
okwfdj	亱
oklimu	亲
okyivi	亵
okxldj	亸
okppna	人
okppuu	亻
okrfhg	亼
okrfdm	亽
okrfve	亾
okrfyi	亿
okrfui	什
okrfer	仁
okrfli	仂
okrfdk	仃
okihrf	仄
okrfyz	仅
okrfbu	仆
okrfjq	仇
okrfba	仈
okrfji	仉
okrfrf	仌
okrfnd	仍
okrfrf	从
okrfsi	仏
okrfui	仐
okrfbi	仑
okrfee	仓
okrfzi	仔
okrfui	仕
okrfye	他
okrfvh	仗
okrfcy	付
okrfuj	仙
okrfuj	仚
okrfto	仛
okrfgs	仜
okrfgs	仝
okrfrf	仞
okrfqm	仟
okrfgj	仠
okrfqi	仡
okrfuc	仢
okrfyi	代
okrfxn	仦
okuhrf	仧
okrfsj	仨
okrfuh	仩
okrfyi	仪
okrfme	仫
okrfmf	们
okrffj	仮
okrfuc	仯
okrfmc	仰
okrfjb	仱
okrfvs	仲
okrfbi	仳
okrfyt	仴
okrfwu	仵
okrfnq	件
okrfjp	价
okrfyc	仸
okrffg	仹
okrfxt	仺
okrfrf	任
okrfwh	仼
okrfff	份
okrfhu	仾
okrffh	仿
okrfgs	伀
okrfvi	企
okrffu	伂
okrfyu	伃
okrfdn	伄
okrfty	伅
okrfwu	伆
okrfuu	伇
okrfxb	伈
okrfkh	伉
okrfyb	伊
okrfji	伋
okrfee	伌
okrfwu	伍
okrfvi	伎
okrfqr	伏
okrfge	伐
okrfmu	休
okrfjb	伒
okrfbu	伓
okrfrs	伔
okrffu	伕
okrfyz	伖
okrfcs	众
okrfyz	优
okrfho	伙
okrfyy	会
okrfqu	伛
okrfyy	伝
okrfww	伟
okrfvr	传
okrfie	伡
okrfya	伢
okrfjm	伣
okrfih	伥
okrfly	伦
okrfch	伧
okrfyy	伨
okrfwf	伩
okrfww	伪
okrfii	伬
okrfxr	伭
okrfnu	伮
okrfbd	伯
okrfgu	估
okrfni	伲
okrfui	伳
okrfbj	伴
okrfsi	伵
okrflk	伶
okrfyz	伷
okrfuf	伸
okrfqp	伹
okrfsi	伺
okrfpk	伻
okrfyi	似
okrfjx	伽
okrfpi	伾
okrfvi	伿
okrfkz	佀
okrftd	佁
okrfvg	佂
okrftm	佃
okrfgj	佄
okrfww	佅
okrfdj	但
okrfnk	佇
okrfbu	佈
okrfqu	佉
okrfpi	佊
okrfvc	佋
okrfci	佌
okrfli	位
okrfdi	低
okrfvu	住
okrfzo	佐
okrfyz	佑
okrfyh	佒
okrfbf	体
okrfvj	佔
okrfke	何
okrfbi	佖
okrfta	佗
okrfui	佘
okrfhe	余
okrfui	佚
okrffu	佛
okrfva	作
okrfju	佝
okrfds	佟
okrfer	你
okrfju	佢
okrfys	佣
okrfwa	佤
okrfui	佦
okrfka	佧
okrfbc	佨
okrfhv	佪
okrfge	佫
okrflc	佬
okrfjl	佭
okrfhe	佮
okrfyh	佯
okrfbd	佰
okrfmk	佲
okrfgv	佳
okrfer	佴
okrfbk	併
okrfji	佶
okrfgf	佷
okrfue	佸
okrfww	佹
okrfqr	佺
okrfvc	佻
okrfjn	佼
okrfci	佽
okrfli	使
okrfxk	侀
okrfxm	侁
okrfvi	侄
okrfhd	侅
okmucs	來
okrfyi	侇
okrfdo	侈
okrfkx	侉
okrfgl	侊
okrflp	例
okjbyy	侌
okrfsi	侍
okrfmi	侎
okrfvu	侏
okrfxt	侐
okrfyz	侑
okrfan	侒
okrfyu	侓
okrfmz	侔
okrfer	侕
okrfts	侗
okrfvd	侘
okrfui	侙
okrfxy	侚
okrfgs	供
okrfvz	侜
okrfyi	依
okrfru	侞
okrfcy	侟
okrfjx	侠
okrfxi	価
okrfzd	侢
okrflv	侣
okrfkc	侤
okrfyc	侥
okrfvf	侦
okrfze	侧
okrfqn	侨
okrfhv	侩
okrfqi	侪
okrfwh	侫
okrfns	侬
okrfjb	侭
okrfmw	侮
okrfjy	侰
okrfig	侱
okrfif	侲
okrfzo	侳
okrflv	侶
okrfju	侷
okrfdz	侸
okrftk	侹
okrfcf	侺
okrfdv	侻
okrfbo	侼
okrfnj	侽
okrfxn	侾
okrfgg	便
okrfto	俀
okrfwu	俁
okrfxi	係
okrfzu	促
okrfwo	俄
okrfqq	俅
okrfyu	俆
okrfkl	俇
okrfgc	俈
okrfwu	俉
okrfqy	俊
okrfyi	俋
okrffu	俌
okrfll	俍
okrfxn	俏
okrfli	俐
