字,辅码
一,aa
丁,al
丂,av
七,av
万,ap
丈,an
三,ae
上,la
下,ab
丌,al
不,ad
与,aa
丏,av
丐,av
丑,va
专,ad
且,la
丕,ba
世,av
丘,pa
丙,an
业,la
丛,ra
东,ad
丝,va
丞,la
丢,ps
两,ad
严,yp
並,by
丧,un
丨,ll
丩,vl
个,rl
丫,bl
中,ll
丮,vl
丯,lp
丰,al
丱,vl
串,ll
丳,ll
临,la
丵,yg
丶,dd
丸,pd
丹,pa
为,dd
主,dw
丼,jd
丽,ad
举,xl
丿,pp
乀,dd
乁,vv
乂,pn
乃,vp
久,pn
乇,pq
么,ps
义,dx
之,dn
乌,pa
乍,pa
乎,pl
乏,pv
乐,pd
乑,pn
乒,qp
乓,qd
乔,yl
乖,qb
乘,qn
乙,vv
乚,vv
乜,vv
九,pv
乞,pv
也,vv
习,vd
乡,vp
乢,ev
乣,yv
书,vd
乩,lv
乪,vt
买,vd
乱,qv
乳,pv
乴,fv
乵,lv
乸,ym
乾,uq
乿,pv
亁,uq
亂,pv
亃,mv
亄,uv
亅,ll
了,vl
予,sl
争,dl
事,al
二,aa
亍,el
于,al
亏,ev
云,es
互,aa
亓,el
五,aa
井,al
亘,aa
亙,aa
亚,ay
些,ve
亝,se
亞,aa
亟,la
亠,da
亡,wv
亢,wj
交,wx
亥,wr
亦,wd
产,"wi,lp"
亨,wl
亩,wt
享,wz
京,wx
亭,wd
亮,wj
亲,lm
亳,wq
亴,wj
亵,wy
亶,wa
亸,wl
亹,wq
人,pn
亿,rv
什,ru
仁,re
仂,rl
仃,rd
仄,ir
仅,ry
仆,rb
仇,rj
仈,rb
仉,rj
今,rv
介,rl
仍,rn
从,rr
仑,rb
仓,rv
仔,rz
仕,ru
他,ry
仗,rv
付,rc
仙,re
仚,re
仛,rq
仜,rg
仝,rg
仞,rr
仟,rq
仠,rg
仡,rq
仢,ru
代,ry
令,rs
以,vr
仨,rs
仪,ry
仫,rm
们,rm
仯,ru
仰,re
仱,rv
仲,rv
仳,rb
仴,ro
仵,rw
件,rn
价,rl
仸,ry
仹,rf
任,rr
仼,rw
份,rd
仿,rf
伀,rs
企,rv
伃,rl
伄,rl
伅,rt
伆,rw
伈,rx
伉,rj
伊,ry
伋,rj
伌,rv
伍,rw
伎,ry
伏,rq
伐,rg
休,rm
伒,rj
伓,rb
伕,rf
众,rr
优,ry
伙,rh
会,rs
伛,rx
伝,rs
伞,ru
伟,rw
传,rv
伢,ry
伣,re
伤,rl
伥,ri
伦,rb
伧,rv
伪,rw
伫,ra
伭,ry
伮,ry
伯,rb
估,rk
伲,rb
伳,ru
伴,rb
伶,rs
伸,ru
伹,rq
伺,rk
伻,rp
似,rr
伽,rk
伾,rp
伿,rb
佁,rk
佂,rv
佃,rt
佄,rg
佅,rw
但,ra
佇,rd
佈,rj
佉,rs
佊,ry
佋,rk
佌,rb
位,rl
低,rd
住,rv
佐,rg
佑,rk
佒,ry
体,rb
佔,rk
何,rk
佖,rb
佗,rb
佘,rx
余,rh
佚,ru
佛,rf
作,rv
佝,rk
佞,rn
佟,rd
你,rx
佡,re
佢,rj
佣,ry
佤,rw
佥,ra
佧,rb
佩,rj
佪,rk
佫,rk
佬,rb
佭,rl
佮,rk
佯,ry
佰,rb
佲,rk
佳,rt
佴,re
併,rk
佶,rk
佷,rg
佸,rk
佹,rv
佺,rw
佻,rd
佼,rx
佽,rr
佾,ro
使,rl
侀,rd
侁,re
侂,rq
侃,rv
侄,rt
侅,rr
來,mr
侇,ry
侈,rx
侉,rk
侊,rw
例,rd
侍,rc
侏,rv
侐,rx
侑,ro
侒,rn
侓,ry
侔,rn
侕,re
侖,rc
侗,rk
侘,rq
侙,rg
侚,ro
供,rb
侜,rv
依,ry
侞,rk
侟,rz
侠,rj
価,ra
侣,rk
侥,rw
侦,rr
侧,rd
侨,rl
侩,rs
侪,rl
侬,rn
侮,rm
侯,ru
侱,rw
侲,rn
侳,rt
侴,rd
侵,ry
侷,rk
侸,ra
侹,rz
侺,rv
侻,re
侼,rz
侾,rz
便,rg
俀,rn
係,rx
促,rr
俄,rw
俅,rq
俆,rh
俇,rw
俈,rk
俉,rk
俊,rw
俋,rb
俌,rf
俍,rl
俎,rq
俏,ro
俐,rd
俑,ry
俒,re
俓,rg
俔,re
俕,rm
俖,rk
俗,rk
俘,rz
俙,rj
俚,rl
俛,rv
俜,rv
保,rm
俞,rd
俟,ru
俠,rj
信,rk
俣,rt
俤,rp
俥,ri
俦,rc
俨,ry
俩,rl
俪,rl
俫,rl
俭,ra
修,rp
俯,rc
俰,rk
俱,rb
俳,rf
俴,rg
俵,ry
俶,ry
俷,rb
俸,rl
俹,ry
俺,rd
俽,rr
俾,ru
俿,rj
倀,ri
倁,rk
倃,rk
倄,ro
倅,ru
倆,rr
倇,rv
倈,rl
倉,rk
倊,rx
個,rk
倌,rk
倍,rk
倎,rb
倏,rq
們,rm
倒,rd
倓,rh
倔,ri
倕,ri
倖,rg
倗,ro
倘,rk
候,ru
倚,rk
倛,rb
倜,rk
倝,ur
倞,rx
借,ro
倠,rf
倡,ro
倢,rr
倥,rg
倦,rv
倧,rx
倨,rk
倩,ro
倪,re
倫,rc
倬,ru
倭,rn
倮,rg
倯,rs
倰,rw
倱,rb
倲,rd
倳,ru
倴,rc
倵,rv
倷,rx
债,rr
倻,re
值,rq
倽,rk
倾,rr
偁,rr
偃,rn
偄,rd
偅,rv
偆,ro
假,ry
偈,rv
偉,rl
偊,ry
偋,rk
偌,rk
偍,rr
偎,rn
偏,rc
偑,ri
偒,rw
偓,rt
偔,rk
偕,rb
偖,ro
偗,ro
偙,rj
做,rw
偛,rj
停,rd
偝,ro
偞,rm
偟,rw
偠,rn
偡,rv
偢,rh
偣,ro
偤,ry
健,rz
偦,ro
偧,rx
偨,rm
偩,rb
偪,rt
偫,rc
偬,rx
偭,rm
偮,re
偯,ry
偰,rd
偱,ro
偲,rx
偳,re
側,rd
偵,rb
偶,ry
偷,rd
偻,rn
偽,rh
偾,rr
偿,rs
傀,rg
傂,rj
傃,rx
傄,ro
傅,rc
傆,rx
傇,re
傈,rm
傉,rc
傊,rb
傋,"rr,rz"
傌,rm
傍,rf
傏,rk
傐,rk
傑,rm
傒,rd
傓,rx
傔,rn
傕,rf
傖,rk
傗,rt
傘,ru
備,ry
傛,rk
傜,rf
傝,rx
傞,rg
傢,ru
傣,ru
傥,re
傧,rb
储,ro
傩,rf
傪,rp
傫,rx
催,rf
傭,rl
傮,ro
傰,ro
傱,rr
傲,rw
傳,rc
傴,rk
債,rb
傶,rx
傷,rw
傸,rx
傹,re
傺,rx
傻,rw
傼,rn
傽,ru
傾,rb
傿,rh
僀,rj
僁,rx
僂,rn
僄,rx
僅,ra
僆,rz
僇,rp
僈,ry
僉,rr
僊,rs
僋,rb
僌,rw
僎,rb
像,rn
僐,rk
僑,rk
僒,rk
僓,rb
僔,rc
僕,rn
僖,rk
僗,rl
僘,rw
僙,rb
僚,rx
僛,rr
僜,ra
僝,rz
僞,rh
僟,rd
僠,rt
僢,rl
僣,ro
僤,rl
僥,rw
僦,ry
僧,ro
僨,rb
僩,ro
僪,rk
僬,rh
僭,ro
僮,rl
僯,rl
僰,ar
僳,rm
僵,ra
僶,re
僷,rm
僸,rx
價,rb
僺,rm
僻,ru
僽,rx
僾,rw
僿,rt
儀,rw
儂,rn
儃,ra
億,rx
儅,rt
儆,rw
儇,ry
儈,ro
儉,rr
儊,rr
儋,rk
儌,rw
儎,ri
儐,rb
儑,rh
儒,re
儓,rt
儔,rc
儕,ra
儖,rm
儗,rr
儘,rm
儙,rz
儚,rx
儜,rd
儝,rm
償,rb
儠,rv
儡,rt
儢,rx
儣,rb
儤,ru
